dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
haar,0.3,sym4,cnn,0.9004064798355103
haar,0.3,sym4,lstmcnn,0.8932926654815674
haar,0.3,sym4,nn,0.8704268336296082
haar,0.3,sym4,rnn,0.7581300735473633
median,0.2,coif4,birnn,0.9242886304855348
median,0.2,coif4,cnn,0.9141260385513306
median,0.2,coif4,lstmcnn,0.9359756112098694
median,0.2,coif4,nn,0.9146341681480408
median,0.2,coif4,rnn,0.9054877758026124
median,0.2,db4,birnn,0.8983739614486694
median,0.2,db4,cnn,0.9298780560493468
median,0.2,db4,lstmcnn,0.922764241695404
median,0.2,db4,nn,0.9400406479835509
median,0.2,db4,rnn,0.8998983502388
median,0.2,dmey,birnn,0.904979646205902
median,0.2,dmey,cnn,0.9375
median,0.2,dmey,lstmcnn,0.927845537662506
median,0.2,dmey,nn,0.9359756112098694
median,0.2,dmey,rnn,0.8978658318519592
median,0.2,haar,birnn,0.9171748161315918
median,0.2,haar,cnn,0.9395325183868408
median,0.2,haar,lstmcnn,0.9400406479835509
median,0.2,haar,nn,0.952235758304596
median,0.2,haar,rnn,0.8988820910453796
median,0.2,none,birnn,0.9039633870124816
median,0.2,none,cnn,0.9019308686256408
median,0.2,none,lstmcnn,0.9237805008888244
median,0.2,none,nn,0.9415650367736816
median,0.2,none,rnn,0.9268292784690856
median,0.2,sym4,birnn,0.9197154641151428
median,0.2,sym4,cnn,0.927337408065796
median,0.2,sym4,lstmcnn,0.922764241695404
median,0.2,sym4,nn,0.9349593520164491
median,0.2,sym4,rnn,0.7311992049217224
noisy,0.2,coif4,birnn,0.9253048896789552
noisy,0.2,coif4,cnn,0.9354674816131592
noisy,0.2,coif4,lstmcnn,0.908028483390808
noisy,0.2,coif4,nn,0.9390243887901306
noisy,0.2,coif4,rnn,0.908028483390808
noisy,0.2,db4,birnn,0.9115853905677797
noisy,0.2,db4,cnn,0.9283536672592164
noisy,0.2,db4,lstmcnn,0.9400406479835509
noisy,0.2,db4,nn,0.9415650367736816
noisy,0.2,db4,rnn,0.9146341681480408
noisy,0.2,dmey,birnn,0.9110772609710692
noisy,0.2,dmey,cnn,0.9298780560493468
noisy,0.2,dmey,lstmcnn,0.9354674816131592
noisy,0.2,dmey,nn,0.9420731663703918
noisy,0.2,dmey,rnn,0.9298780560493468
noisy,0.2,haar,birnn,0.9146341681480408
noisy,0.2,haar,cnn,0.9354674816131592
noisy,0.2,haar,lstmcnn,0.9507113695144652
noisy,0.2,haar,nn,0.9486788511276244
noisy,0.2,haar,rnn,0.9019308686256408
noisy,0.2,none,birnn,0.9059959053993224
noisy,0.2,none,cnn,0.9105691313743592
noisy,0.2,none,lstmcnn,0.9369918704032898
noisy,0.2,none,nn,0.9314024448394777
noisy,0.2,none,rnn,0.9085366129875184
noisy,0.2,sym4,birnn,0.9009146094322203
noisy,0.2,sym4,cnn,0.927337408065796
noisy,0.2,sym4,lstmcnn,0.9461382031440736
noisy,0.2,sym4,nn,0.9446138143539428
noisy,0.2,sym4,rnn,0.904979646205902
sym4,0.2,coif4,birnn,0.8902438879013062
sym4,0.2,coif4,cnn,0.9171748161315918
sym4,0.2,coif4,lstmcnn,0.9126016497612
sym4,0.2,coif4,nn,0.9034552574157716
sym4,0.2,coif4,rnn,0.7494918704032898
sym4,0.2,db4,birnn,0.8998983502388
sym4,0.2,db4,cnn,0.9171748161315918
sym4,0.2,db4,lstmcnn,0.904979646205902
sym4,0.2,db4,nn,0.9314024448394777
sym4,0.2,db4,rnn,0.7759146094322205
sym4,0.2,dmey,birnn,0.9095528721809388
sym4,0.2,dmey,cnn,0.927337408065796
sym4,0.2,dmey,lstmcnn,0.917682945728302
sym4,0.2,dmey,nn,0.8866869807243347
sym4,0.2,dmey,rnn,0.7870935201644897
sym4,0.2,haar,birnn,0.9014227390289308
sym4,0.2,haar,cnn,0.9242886304855348
sym4,0.2,haar,lstmcnn,0.917682945728302
sym4,0.2,haar,nn,0.9339430928230286
sym4,0.2,haar,rnn,0.8709349632263184
sym4,0.2,none,birnn,0.8831300735473633
sym4,0.2,none,cnn,0.9217479825019836
sym4,0.2,none,lstmcnn,0.9263211488723756
sym4,0.2,none,nn,0.8785569071769714
sym4,0.2,none,rnn,0.9009146094322203
sym4,0.2,sym4,birnn,0.894817054271698
sym4,0.2,sym4,cnn,0.917682945728302
sym4,0.2,sym4,lstmcnn,0.8846544623374939
sym4,0.2,sym4,nn,0.9192073345184326
sym4,0.2,sym4,rnn,0.690040647983551
sym4,0.3,coif4,birnn,0.8734756112098694
sym4,0.3,coif4,cnn,0.9009146094322203
sym4,0.3,coif4,lstmcnn,0.8689024448394775
sym4,0.3,coif4,nn,0.8841463327407837
sym4,0.3,coif4,rnn,0.7245935201644897
sym4,0.3,db4,birnn,0.8714430928230286
sym4,0.3,db4,cnn,0.9004064798355103
sym4,0.3,db4,lstmcnn,0.8770325183868408
sym4,0.3,db4,nn,0.8907520174980164
sym4,0.3,db4,rnn,0.7459349632263184
sym4,0.3,dmey,birnn,0.8785569071769714
sym4,0.3,dmey,cnn,0.9090447425842284
sym4,0.3,dmey,lstmcnn,0.915142297744751
sym4,0.3,dmey,nn,0.8831300735473633
sym4,0.3,dmey,rnn,0.7474593520164491
sym4,0.3,haar,birnn,0.8917682766914368
sym4,0.3,haar,cnn,0.9232723712921144
sym4,0.3,haar,lstmcnn,0.8993902206420898
sym4,0.3,haar,nn,0.9110772609710692
sym4,0.3,haar,rnn,0.8262194991111755
sym4,0.3,none,birnn,0.8587398529052734
sym4,0.3,none,cnn,0.8968495726585388
sym4,0.3,none,lstmcnn,0.9034552574157716
sym4,0.3,none,nn,0.8739837408065796
sym4,0.3,none,rnn,0.8617886304855347
sym4,0.3,sym4,birnn,0.8927845358848572
sym4,0.3,sym4,cnn,0.9120935201644896
sym4,0.3,sym4,lstmcnn,0.8836382031440735
sym4,0.3,sym4,nn,0.9059959053993224
sym4,0.3,sym4,rnn,0.6443089246749878
