dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
dmey,0.3,coif4,svc,0.6707317073170732
dmey,0.3,db4,dtc,0.8175813008130082
dmey,0.3,db4,gbc,0.8866869918699187
dmey,0.3,db4,kerasnn,0.889735758304596
dmey,0.3,db4,knc,0.5223577235772358
dmey,0.3,db4,logreg,0.8973577235772358
dmey,0.3,db4,nn,0.1880081300813008
dmey,0.3,db4,rfc,0.8887195121951219
dmey,0.3,db4,svc,0.7952235772357723
dmey,0.3,dmey,dtc,0.8313008130081301
dmey,0.3,dmey,gbc,0.8983739837398373
dmey,0.3,dmey,kerasnn,0.8556910753250122
dmey,0.3,dmey,knc,0.5558943089430894
dmey,0.3,dmey,logreg,0.8988821138211383
dmey,0.3,dmey,nn,0.1880081300813008
dmey,0.3,dmey,rfc,0.9115853658536586
dmey,0.3,dmey,svc,0.7225609756097561
dmey,0.3,haar,dtc,0.8079268292682927
dmey,0.3,haar,gbc,0.9029471544715448
dmey,0.3,haar,kerasnn,0.8988820910453796
dmey,0.3,haar,knc,0.7296747967479674
dmey,0.3,haar,logreg,0.9136178861788616
dmey,0.3,haar,nn,0.8978658536585366
dmey,0.3,haar,rfc,0.913109756097561
dmey,0.3,haar,svc,0.8902439024390244
dmey,0.3,none,dtc,0.8089430894308943
dmey,0.3,none,gbc,0.9054878048780488
dmey,0.3,none,kerasnn,0.834857702255249
dmey,0.3,none,knc,0.6697154471544715
dmey,0.3,none,logreg,0.8887195121951219
dmey,0.3,none,nn,0.3775406504065041
dmey,0.3,none,rfc,0.9034552845528456
dmey,0.3,none,svc,0.8180894308943092
dmey,0.3,sym4,dtc,0.8135162601626016
dmey,0.3,sym4,gbc,0.9029471544715448
dmey,0.3,sym4,kerasnn,0.880081295967102
dmey,0.3,sym4,knc,0.5370934959349594
dmey,0.3,sym4,logreg,0.9059959349593496
dmey,0.3,sym4,nn,0.1880081300813008
dmey,0.3,sym4,rfc,0.9039634146341464
dmey,0.3,sym4,svc,0.7947154471544715
haar,0.2,coif4,dtc,0.8135162601626016
haar,0.2,coif4,gbc,0.8790650406504065
haar,0.2,coif4,kerasnn,0.8770325183868408
haar,0.2,coif4,knc,0.5309959349593496
haar,0.2,coif4,logreg,0.8841463414634146
haar,0.2,coif4,nn,0.1880081300813008
haar,0.2,coif4,rfc,0.8678861788617886
haar,0.2,coif4,svc,0.7581300813008129
haar,0.2,db4,dtc,0.8094512195121951
haar,0.2,db4,gbc,0.8744918699186992
haar,0.2,db4,kerasnn,0.9034552574157716
haar,0.2,db4,knc,0.6183943089430894
haar,0.2,db4,logreg,0.9110772357723578
haar,0.2,db4,nn,0.6585365853658537
haar,0.2,db4,rfc,0.8805894308943092
haar,0.2,db4,svc,0.8932926829268293
haar,0.2,dmey,dtc,0.7992886178861789
haar,0.2,dmey,gbc,0.8694105691056908
haar,0.2,dmey,kerasnn,0.8734756112098694
haar,0.2,dmey,knc,0.5625
haar,0.2,dmey,logreg,0.9014227642276422
haar,0.2,dmey,nn,0.1880081300813008
haar,0.2,dmey,rfc,0.8709349593495935
haar,0.2,dmey,svc,0.7372967479674797
haar,0.2,haar,dtc,0.8262195121951219
haar,0.2,haar,gbc,0.8887195121951219
haar,0.2,haar,kerasnn,0.8846544623374939
haar,0.2,haar,knc,0.7276422764227642
haar,0.2,haar,logreg,0.9126016260162602
haar,0.2,haar,nn,0.8744918699186992
haar,0.2,haar,rfc,0.9014227642276422
haar,0.2,haar,svc,0.9075203252032521
haar,0.2,none,dtc,0.7662601626016259
haar,0.2,none,gbc,0.8978658536585366
